[00:03:31] [Server thread/INFO]: Jimmy[local] logged in with entity id 88548 at (481.69999998807907, 86.1875, 1309.699999988079)
[00:03:31] [Server thread/INFO]: Jimmy joined the game
[00:17:58] [Server thread/WARN]: Mattiu04 moved too quickly! 17.564623576381223,-2.2038999906764616,0.7425678543277172
[00:18:07] [Server thread/WARN]: Mattiu04 moved too quickly! 16.565241360624384,-1.950009406568526,-5.138333160220441
[00:28:20] [Server thread/WARN]: FxxkingPanda23 moved too quickly! -17.39194442312595,-1.6404475469254294,-1.1445169736703065
[00:30:11] [Server thread/INFO]: Villager class_1646['Mason'/111544, l='ServerLevel[world]', x=-831.49, y=63.00, z=800.51] died, message: 'Mason was slain by Zombie'
[00:38:14] [Server thread/INFO]: [FxxkingPanda23: Set own game mode to Creative Mode]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 64 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 64 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 64 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 64 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 64 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 128 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 14 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 12 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:39] [Server thread/WARN]: Tried to add entity minecraft:item but it was marked as removed already
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Summoned new Air]
[00:38:39] [Server thread/WARN]: Tried to add entity minecraft:item but it was marked as removed already
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Summoned new Air]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 18 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 18 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 18 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 18 block(s)]
